top1_accuracy,near_oracle_rate,avg_regret,speedup_vs_best_fixed,model,fold
1.0,1.0,0.0,57.195955587470785,oracle,1
0.5217391304347826,0.6521739130434783,0.34370776629696664,0.782608695652174,best_fixed,1
0.43478260869565216,0.5652173913043478,0.3149707302837226,17.51766566668953,rule_of_thumb,1
0.43478260869565216,0.5217391304347826,0.33868218082747253,38.31743904757804,random,1
0.7391304347826086,0.8695652173913043,0.13043478260869565,28.23049650780589,logistic_regression,1
1.0,1.0,0.0,57.195955587470785,random_forest,1
1.0,1.0,0.0,47.74628148430297,oracle,2
0.5217391304347826,0.6521739130434783,0.3432444622680044,0.782608695652174,best_fixed,2
0.391304347826087,0.5217391304347826,0.34387489987821707,19.102620356204635,rule_of_thumb,2
0.21739130434782608,0.30434782608695654,0.5395415943820417,5.623196877291522,random,2
0.782608695652174,0.9130434782608695,0.08695652173913043,47.74628148430297,logistic_regression,2
1.0,1.0,0.0,47.74628148430297,random_forest,2
1.0,1.0,0.0,51.4896059446457,oracle,3
0.5217391304347826,0.6086956521739131,0.3859990349929077,0.8260869565217391,best_fixed,3
0.391304347826087,0.4782608695652174,0.3815758046484902,7.830835030729282,rule_of_thumb,3
0.43478260869565216,0.43478260869565216,0.5018579484942276,3.83034622263823,random,3
0.6521739130434783,0.7391304347826086,0.18204918192343872,43.04031215286093,logistic_regression,3
1.0,1.0,0.0,51.4896059446457,random_forest,3
1.0,1.0,0.0,68.29526529702568,oracle,4
0.5217391304347826,0.6086956521739131,0.3886825698690553,0.8260869565217391,best_fixed,4
0.391304347826087,0.4782608695652174,0.3882139951258837,17.78778780001969,rule_of_thumb,4
0.2608695652173913,0.30434782608695654,0.45741583954488524,13.437267725626919,random,4
0.782608695652174,0.8695652173913043,0.11819697954321094,65.79968643404627,logistic_regression,4
1.0,1.0,0.0,68.29526529702568,random_forest,4
1.0,1.0,0.0,34.535406778503564,oracle,5
0.5454545454545454,0.6363636363636364,0.36156877858428715,0.7727272727272727,best_fixed,5
0.36363636363636365,0.45454545454545453,0.4109195676189497,5.811571727068199,rule_of_thumb,5
0.4090909090909091,0.4090909090909091,0.42880749990607736,14.773441447341837,random,5
0.7727272727272727,0.8636363636363636,0.13636363636363635,34.535406778503564,logistic_regression,5
1.0,1.0,0.0,34.535406778503564,random_forest,5
